match,verdict,sponsors_h1b,h1b_approvals,days_ago,posted_on,title,company,location,strengths,gaps,min_years_req,red_flags,url
72,strong,yes,22,11,2026-06-11,Senior Software Engineer - PA111 - Workflows ,zoominfo,"Waltham, Massachusetts, United States","Strong Java Spring Boot expertise with 4 years backend experience, directly matching core requirement | Proven event-driven architecture experience with Apache Kafka and AWS SNS/SQS, essential for workflow systems | Solid Node.js skills and familiarity with microservices, distributed systems, and cloud platforms (GCP, AWS, Azure) | Demonstrated observability/monitoring experience with Splunk, logging, and CI/CD practices",No explicit Temporal or Google Cloud Workflows experience mentioned—critical workflow orchestration tools for this role | 4 years experience is mid-level; role is Senior with mentorship/architectural leadership expectations that may stretch candidate | No mention of NestJS (Node.js framework explicitly listed); only Express.js and general Node.js shown | Limited evidence of large-scale distributed systems troubleshooting or production incident response at the scale ZoomInfo operates,5,,https://www.zoominfo.com/careers?gh_jid=8568091002
72,strong,unknown,0,12,2026-06-10,"Software Engineer (Full-Stack), GTM Tooling",cockroachlabs,"New York, NY","Full-stack capability with strong frontend (React, Angular, TypeScript) and backend (Python, Node.js, Spring Boot) skills matching GTM tooling UI/UX and integration work | 4 years of experience at appropriate seniority level for building new systems and defining architecture patterns | Microservices, API design (REST, GraphQL, OpenAPI), and cloud infrastructure (AWS, GCP, Azure) experience relevant for scalable internal platform development | Modern DevOps/infrastructure skills (Docker, Kubernetes, Terraform, CI/CD) and messaging systems (Kafka, SNS/SQS) applicable to workflow orchestration","No demonstrated experience with AI/ML integration, agentic systems, or LLM-based workflows—core to the GTM OS vision of human-AI collaboration | No mention of workflow orchestration platforms, automation frameworks, or business process management systems that would be foundational for building a workflow execution engine",5,,https://www.cockroachlabs.com/careers/job/?gh_jid=7967509
72,strong,unknown,0,12,2026-06-10,"Product Engineer II- Rest API, ArcGIS Enterprise",esri,"Redlands, CA","4 years of experience with RESTful API design, testing, and validation across multiple projects | Strong proficiency in Python, Java, JavaScript/Node.js, and TypeScript—all suitable for API development | Extensive REST API expertise: OpenAPI/Swagger, API versioning, HTTP concepts, OAuth2/JWT authentication, and security | Cloud platform experience (AWS, Azure, GCP) aligns with multi-environment deployment requirements (Windows, Linux, Kubernetes)","No demonstrated experience with ArcGIS Enterprise, ArcGIS Online, or geospatial technology—a stated requirement | No explicit mention of API test automation frameworks or performance testing tools in work history | No evidence of presenting technical topics at conferences or large internal audiences, though communication skills are strong",2,,https://www.esri.com/careers/5150167007?gh_jid=5150167007
72,strong,unknown,0,12,2026-06-10,Senior Software Engineer - Government Cloud,tines,United States (Remote),"4 years of backend/microservices experience aligns well with senior-level expectations for a specialized government cloud role | Strong AWS expertise (including cloud infrastructure, Docker, Kubernetes, Terraform) directly applicable to AWS GovCloud environment | Solid security foundation with OAuth2, JWT, Spring Security, and API design experience relevant to compliance-regulated environments | Full-stack capability with Python, Java Spring Boot, and modern tooling (CI/CD, Jenkins, observability) matches the need to build abstractions and enable cross-team feature development","No demonstrated experience with government compliance frameworks (FedRAMP, NIST, FISMA, HIPAA, etc.) or GovCloud-specific deployments—critical for a government cloud-focused senior role | Seniority level is mid-level (4 years) for a 'Senior' title; typically senior roles expect 6-8+ years, though specialized government cloud experience could offset this | No evidence of security hardening, audit/compliance tooling development, or working in highly regulated environments—core responsibilities of this role",7,,https://job-boards.greenhouse.io/tines/jobs/6017339004
72,strong,unknown,0,12,2026-06-10,"Software Engineer, Data Governance",peregrinetechnologies,"San Francisco, California, Unites States","Strong backend foundation with Python, which is the primary language for Peregrine's stack (Django, Celery, Airflow) | Extensive experience with AWS, Kubernetes, Terraform, and infrastructure-as-code matching the job's tech stack requirements | Solid full-stack capabilities with React/TypeScript frontend skills aligning with their React/Redux frontend | 4 years of experience with microservices, API design, and security patterns (OAuth2, JWT, Spring Security) relevant to data governance architecture","No demonstrated experience with Django or Celery specifically, which are core to Peregrine's backend stack; candidate has Spring Boot and Node.js but not Django | Limited evidence of data governance, access control, or compliance-focused work; role requires deep expertise in fine-grained permissions, auditability, and policy enforcement which aren't evident in candidate's background | No mention of Airflow experience, which is explicitly part of their data pipeline infrastructure | No experience with Mapbox or geospatial data systems, though this is secondary to core governance work",2,,https://job-boards.greenhouse.io/peregrinetechnologies/jobs/4704801005
72,strong,unknown,0,12,2026-06-10,"Software Engineer, Platform",peregrinetechnologies,"San Francisco, California, Unites States","Python backend expertise aligns with Django/Celery/Airflow stack foundation | 4 years full-stack experience with microservices, cloud infrastructure (AWS/GCP/Azure), and Kubernetes matches platform engineering scope | Strong DevOps/infrastructure skills: Docker, Kubernetes, Terraform, CI/CD, and AWS services directly applicable to platform optimization work | Experience with data technologies: SQL, PostgreSQL, Redis, DynamoDB, Kafka, and Elasticsearch exposure relevant to data platform role","No explicit Django or Celery experience listed; while Python background is strong, specific framework expertise with job's core backend stack is unclear | Limited evidence of large-scale data platform optimization work (e.g., Elasticsearch performance tuning, order-of-magnitude improvements) at this seniority level | No mention of Airflow, Pulumi, or Mapbox experience; missing some specialized platform tools | 4 years experience is solid mid-level but role emphasizes 'experienced engineers' and 'vast ownership' suggesting preference for senior+ engineers (5-7+ years typical for platform-spanning strategic initiatives)",2,,https://job-boards.greenhouse.io/peregrinetechnologies/jobs/4704812005
72,strong,yes,3,12,2026-06-10,Sr. Software Engineer Core Infrastructure,poshmark,US California (Redwood City) - Office,"4.0 years experience matches the 4+ years requirement for backend systems | Strong Java expertise with Spring Boot and microservices architecture directly aligns with core infrastructure work | Extensive database experience (SQL, MySQL, MongoDB, Redis, DynamoDB) covers both NoSQL and SQL scaling requirements | Proven distributed systems knowledge through Kafka, microservices, and multi-cloud (AWS, Azure, GCP) experience","No Ruby or JRuby experience listed; Ruby is explicitly called out as a primary language for the role and the monolith-to-microservices migration | Limited evidence of mentoring/senior-level impact; job expects 6-month accomplishment of meaningful design feedback and peer mentoring, 12-month of identifying architectural gaps—candidate's titles suggest IC level but no explicit leadership/mentoring experience documented",4,,https://jobs.ashbyhq.com/poshmark/0781cc6c-be09-4075-9628-3fafa9fef00f
72,strong,unknown,0,13,2026-06-09,Senior Full Stack Engineer ,infisical,United States & Canada,"Strong JavaScript ecosystem mastery: React.js, Node.js, TypeScript, and Express.js all present with 4 years of full-stack experience | Comprehensive backend and DevOps skills: microservices, Kubernetes, Docker, Terraform, CI/CD, and cloud platforms (AWS, Azure, GCP) align well with infrastructure platform needs | Security-relevant experience: OAuth2, JWT, Spring Security, and API design (OpenAPI/Swagger) demonstrate understanding of authentication and secure systems","Seniority mismatch: 4 years experience is mid-level; role explicitly seeks 'Senior' engineer with deeper mastery expected for complex infrastructure (PKI, PAM, KMS, EST/KMIP protocols) | No Go expertise mentioned: job lists Go as nice-to-have but candidate shows no Go experience; for infrastructure/DevOps-heavy role, this is a notable gap",,,https://jobs.ashbyhq.com/infisical/3b1dd1a3-e5e7-46e5-b1d2-862f672d8878
72,strong,unknown,0,14,2026-06-08,"Sr Systems Specialist (Full Stack, Cloud)",testnisc,"Mandan, ND","Full-stack capability across frontend (Angular, React, TypeScript) and backend (Java Spring Boot, Node.js, Python) aligns perfectly with role's cross-stack requirement | Extensive cloud infrastructure experience (AWS, Azure, GCP) with DevOps tooling (Docker, Kubernetes, Terraform, CI/CD, Jenkins) matches systems engineering and deployment needs | Microservices architecture, API design (REST, GraphQL, OpenAPI/Swagger), and distributed systems experience (Kafka, SNS/SQS) directly applicable to enterprise software solutions | 4 years of relevant experience positions candidate at mid-level, fitting the 'mid to senior-level technologist' description","Seniority expectation unclear—candidate has 4 years (solid mid-level) but 'Sr Systems Specialist' title may expect 6-8+ years; no explicit senior-level leadership or architecture ownership demonstrated | No mention of AI-assisted development tools (Claude, etc.) adoption or experience, which job explicitly highlights as valued",5,,https://job-boards.greenhouse.io/testnisc/jobs/7990763
62,possible,yes,1,3,2026-06-19,Senior Software Engineer - AI Integrations,commure,"Mountain View, CA","Strong backend engineering foundation with Java Spring Boot, Python, and microservices architecture directly applicable to healthcare integration platform design | Extensive cloud infrastructure experience (AWS, Azure, GCP) with Docker, Kubernetes, and Terraform for scalable deployment of integration solutions | Proven API design and integration expertise with RESTful APIs, GraphQL, OpenAPI/Swagger, and experience with message queues (Kafka, SNS/SQS) suitable for healthcare data workflows | Security and authentication knowledge (OAuth2, JWT, Spring Security) relevant to HIPAA compliance requirements","No demonstrated healthcare domain experience (HL7, FHIR, EHR systems, HIPAA compliance) which is core to this role's integration focus | No evidence of LLM/AI technology experience, which the job explicitly requires for reverse-engineering EHRs using latest LLM developments | Seniority mismatch: 4 years experience is mid-level; role requires Senior-level engineer with mentorship responsibilities and architectural decision-making authority | No third-party healthcare system integration experience (EMRs, insurance providers, healthcare APIs) despite strong general integration skills",,,https://jobs.ashbyhq.com/commure/ee0220cc-ecec-413f-a22a-4d4d229683de
62,possible,yes,2,4,2026-06-18,Sr. Software Engineer - Engineering Enablement,meridianlink,US Remote,"Strong CI/CD expertise: Jenkins, Docker, Kubernetes, Terraform, and infrastructure-as-code experience directly applicable to CI/CD platform ownership | Microservices and distributed systems background with Spring Cloud, API design, and service-oriented architecture aligns with platform thinking | Cloud platform proficiency across AWS, Azure, GCP with hands-on infrastructure work (DynamoDB, SNS/SQS, Kafka) shows ability to design scalable systems","Seniority mismatch: 4 years experience is mid-level; role explicitly requires senior-level IC who owns end-to-end with limited guidance and identifies problems proactively—candidate is likely still developing this maturity | No demonstrated experience with AI tooling, LLM infrastructure, MCP servers, agent orchestration, or prompt management—core 40% of the role's focus on AI-native development platform | Missing platform/enablement mindset evidence: no clear track record of building shared infrastructure for multiple teams, measuring adoption (DORA metrics), or treating engineers as customers with product thinking",5,,https://jobs.ashbyhq.com/meridianlink/b569b567-7733-46bf-8aa2-4cd36be1e996
62,possible,unknown,0,5,2026-06-17,"Senior Software Engineer, Virality and Activation",otterai,"Mountain View, CA","Strong backend engineering foundation with Java Spring Boot, Python, and microservices architecture directly applicable to scalable growth systems | Proven experience with full-stack systems: APIs, databases (SQL, MongoDB, DynamoDB), messaging (Kafka, SNS/SQS), and cloud platforms (AWS, Azure, GCP) needed for sharing/notification pipelines | Demonstrated ability to work cross-functionally with product and data through Agile/Scrum experience, and technical rigor with TDD, CI/CD, and documentation practices","Seniority mismatch: 4 years of experience vs. 5+ years required for Senior role; candidate is mid-level, not senior | No explicit evidence of A/B testing frameworks, experimentation platforms, analytics instrumentation, or growth metrics expertise that are core to this Virality & Activation role",5,,https://otter.ai/careers?gh_jid=7776928003
62,possible,unknown,0,5,2026-06-17,Sr. Software Engineer - Provider Services (Remote),rula,Remote - United States,"Strong backend engineering foundation with Java Spring Boot, microservices architecture, and API design (RESTful, GraphQL, OpenAPI/Swagger) | Excellent cloud and DevOps skills matching job requirements: AWS, Docker, Kubernetes, Terraform, CI/CD, and event-driven systems (Kafka, SNS/SQS) | Full-stack capability with Node.js, TypeScript, and modern frontend frameworks; demonstrates ability to understand end-to-end systems and third-party integrations | US work authorization with no sponsorship required; remote-ready profile aligns with company culture","Seniority mismatch: 4 years of experience vs. 5+ years required for Senior role; candidate is mid-level, not senior | No demonstrated experience at growth-stage companies, legacy system migrations to microservices, or leading cross-functional initiatives as mentioned in preferred qualifications",5,,https://jobs.ashbyhq.com/rula/40daa3f2-ca92-4807-a855-e960798750da
62,possible,unknown,0,6,2026-06-16,Full-Stack Developer,mcadams,"Raleigh, North Carolina, United States","4 years of experience matches the 4+ years requirement exactly | Advanced proficiency in Python and JavaScript/TypeScript demonstrated across multiple frameworks (Node.js, Angular, React, Vue) | Full-stack experience with both backend (Spring Boot, Express.js) and frontend (Angular, React) technologies | Strong Git/version control experience (Git, BitBucket) and GitHub workflow capability","No demonstrated experience with low-code/no-code platforms (Azure Power Platform, Foundry, Copilot Studio) which are central to the role | No evidence of generative AI experience, model selection, advanced prompting, or ML fundamentals—a key requirement | No mention of AI-assisted development tools (Claude Code, GitHub Copilot) in practical use | Background is traditional pro-code microservices/cloud architecture; role emphasizes hybrid low-code/pro-code blend with AI focus",4,,https://job-boards.greenhouse.io/mcadams/jobs/5165907007
62,possible,yes,13,6,2026-06-16,Full Stack AI Developer,Enterprise Knowledge,"Arlington, Virginia, United States","Strong full-stack foundation with Python, Java, React, Vue, TypeScript, and Node.js covering both backend and frontend requirements | Extensive microservices, API design, and cloud infrastructure experience (AWS, Azure, GCP, Docker, Kubernetes) directly applicable to scalable AI solutions | Proven data engineering skills with SQL, MongoDB, DynamoDB, and pipeline experience relevant to RAG data integration workflows | 4 years professional experience aligns well with the 1-3 year requirement and demonstrates maturity beyond entry-level","No demonstrated experience with RAG pipelines, embeddings, reranking, vector databases, or NLP/LLM frameworks—the core AI technical requirement | Missing hands-on experience with AI orchestration patterns, agentic systems, prompt engineering, or LLM integration tools (LangChain, LlamaIndex, etc.) | No evidence of working with semantic layers, knowledge graphs, or specialized AI evaluation frameworks required for the role's AI-specific responsibilities",1,,https://jobs.workable.com/view/uxNr5H3YKc8gay9EbCykcq/hybrid-full-stack-ai-developer-in-arlington-at-enterprise-knowledge
62,possible,no,0,6,2026-06-16,Sr. Manager/ Director AI Software Engineer,appnovation,New York,"Strong fullstack capabilities: Python, Node.js/Express, React, Vue.js, TypeScript, ES6 all present | Comprehensive database experience: MySQL, PostgreSQL (implied SQL), MongoDB, DynamoDB | Solid DevOps/Cloud foundation: AWS, Docker, Kubernetes, CI/CD, Git | Microservices and API design expertise: RESTful APIs, GraphQL, OpenAPI/Swagger, SOA","Seniority mismatch: 4 years experience vs. 5+ required; role title is 'Sr. Manager/Director' suggesting leadership/mentorship expectations not evidenced | No mention of AI-powered development tools (Claude Code, GitHub Copilot) experience or AI/ML domain expertise despite job emphasis | Missing PostgreSQL explicitly listed (only SQL/MySQL mentioned, though likely capable) | No evidence of consulting, architectural leadership, or cross-functional team leadership at scale",5,,https://job-boards.greenhouse.io/appnovation/jobs/8593964002
62,possible,yes,1,6,2026-06-16,Senior Full Stack Platform Engineer,Realtime Robotics,"Boston, Massachusetts, United States","Strong full-stack capabilities with React, TypeScript, Node.js, and backend services (Spring Boot, Express.js) | Extensive AWS experience with cloud-native systems, Docker, Kubernetes, Terraform, and CI/CD (Jenkins) | Solid distributed systems knowledge: microservices, async workflows (Kafka, SNS/SQS), databases (SQL, NoSQL), and observability (Splunk) | Security expertise: OAuth2, JWT, Spring Security align with enterprise identity requirements","Seniority mismatch: 4 years experience vs. 5+ years required for Senior role; lacks demonstrated mentorship track record and architectural leadership at scale | Next.js experience not mentioned; while React proficiency is strong, Next.js-specific expertise (SSR, routing, deployment patterns) is a stated requirement | No explicit mention of multi-tenant architecture design, role-based/attribute-based access control systems, or enterprise compliance frameworks (SOC 2, ISO 27001) that are core to this platform role",5,,https://jobs.workable.com/view/pPdwWc5YeqdVTKRPUyY2o2/hybrid-senior-full-stack-platform-engineer-in-boston-at-realtime-robotics
62,possible,unknown,0,6,2026-06-16,Senior Full Stack Software Engineer,noctrixhealth,"Pittsburgh, PA","Strong full-stack capabilities with Python, Java Spring Boot, Node.js, and React/Angular matching backend and frontend requirements | Extensive microservices, API design (RESTful, GraphQL), and cloud infrastructure experience (AWS, Azure, GCP) directly applicable to Galen Data and Nidra Sync API | Proven security expertise with OAuth2, JWT, Spring Security, and authentication/authorization patterns required for regulated medical device environment | 4 years of relevant experience with modern DevOps practices (Docker, Kubernetes, Terraform, CI/CD, Jenkins) supporting scalable systems","Seniority mismatch: 4 years experience is mid-level; Senior role typically requires 7-10+ years; candidate lacks demonstrated mentorship and architectural leadership track record | No evidence of medical device, healthcare, or regulated industry experience (FDA compliance, quality systems, clinical workflows) which is critical for this role | No mention of Flutter or mobile application integration experience; role requires collaboration with Flutter-based patient apps | Missing specific experience with complex data processing pipelines, clinical data handling, or healthcare data architectures that Galen Data and Nidra Sync API demand",5,senior/8+yr signals in JD,https://job-boards.greenhouse.io/noctrixhealth/jobs/5263490008
62,possible,yes,5,7,2026-06-15,"Sr. Software Engineer, AI Enablement",klaviyo,"Boston, MA","Strong full-stack engineering foundation with Python, Java, Node.js, and modern frontend frameworks (React, Angular, Vue) - directly aligns with 'full stack platforms and tools' requirement | 4 years of experience with microservices, cloud platforms (AWS, Azure, GCP), Docker, Kubernetes, and CI/CD - solid infrastructure knowledge for building scalable AI enablement platforms | Proven experience with APIs (RESTful, GraphQL), service-oriented architecture, and cross-functional collaboration patterns needed for integrating AI services across teams","No demonstrated AI/ML expertise, LLM integration experience, or AI tooling background - the core focus of this senior role is AI enablement and the candidate shows no signals of working with AI systems, prompt engineering, or ML frameworks | Seniority mismatch: 4 years experience is mid-level; role requires 'Senior Software Engineer' with technical leadership and mentorship expectations typically requiring 6-8+ years, especially for a specialized AI enablement domain",5,,https://www.klaviyo.com/careers/jobs/7688416003?gh_jid=7688416003
62,possible,unknown,0,7,2026-06-15,"Senior Software Engineer, CI/CD Platform",ixllearning,"San Mateo, CA","Strong programming skills in Java and Python, matching the required OOP and scripting language requirements | Extensive hands-on experience with Docker, Kubernetes, and containerized environments | Proven CI/CD expertise with Jenkins, plus broader DevOps tooling (Terraform, AWS, GCP, Azure) | Cloud infrastructure experience across AWS, Azure, and GCP with demonstrated proficiency","Seniority mismatch: 4 years of experience vs. 6+ years required for Senior role; candidate is mid-level, not senior | No demonstrated experience building reusable CI/CD systems or deployment platforms at scale; background is primarily application engineering rather than infrastructure/platform engineering | No mention of mobile release experience (EAS/Expo) or specialized testing infrastructure work | Missing evidence of leading cross-team infrastructure initiatives or driving platform unification across multiple engineering organizations",6,,https://www.ixl.com/company/jobs?gh_jid=8592886002
62,possible,unknown,0,7,2026-06-15,"Forward Deployed AI Engineer, West",arizeai,Remote (San Francisco),"Strong software development foundation with 4 years of hands-on experience across Python, Java, TypeScript, and Node.js—exceeds the 2-5 year requirement and covers all three primary languages mentioned | Extensive cloud platform experience (AWS, Azure, GCP) with Docker and Kubernetes, directly matching job requirements | Microservices, API design (REST, GraphQL, OpenAPI/Swagger), and distributed systems expertise align well with building production-grade observability solutions","No demonstrated ML/AI or MLOps pipeline experience—critical gap for an AI-focused role; candidate's background is pure backend/full-stack engineering without evidence of ML model deployment, monitoring, or GenAI application development | No mention of AI/ML observability, evaluation frameworks, or production GenAI systems experience—core to the Forward Deployed AI Engineer role despite strong general engineering credentials",2,,https://job-boards.greenhouse.io/arizeai/jobs/6030953004
62,possible,unknown,0,7,2026-06-15,QA Engineer,bridgeway,Remote,"4 years of software engineering experience matches the 4+ years QA requirement | Strong programming skills in Python, Java, and JavaScript/TypeScript exceed the solid programming requirement | Extensive CI/CD experience with Jenkins, Git, and cloud platforms (AWS, Azure, GCP) aligns with DevOps/CI/CD focus | Microservices and distributed systems background provides strong technical foundation for understanding complex systems under test","No demonstrated test automation experience or test automation framework expertise (TestComplete, Playwright, Selenium, etc.) - this is a core requirement | Background is as a full-stack/backend engineer, not QA engineer - lacks the 2+ years of dedicated test automation experience explicitly required | No mention of test planning, test case design, defect tracking workflows, or QA-specific methodologies | Missing experience with Azure DevOps (ADO) or similar QA-focused platforms for test management",2,,https://www.bridgewaybentech.com/job-posting?gh_jid=8593241002
62,possible,unknown,0,10,2026-06-12,Software Engineer Lead,personalisinc,"Fremont, CA","Strong full-stack and backend engineering foundation with 4 years of hands-on experience across Python, Java Spring Boot, and microservices architecture | Proven expertise in regulated/compliance-adjacent domains: OAuth2, JWT, Spring Security, CI/CD, and operational tooling (Splunk, Jenkins) align with GxP/clinical laboratory requirements | Demonstrated leadership capability through multiple senior titles (Lead, Microservices Engineer, Cloud Engineer) and experience with team-oriented technologies and best practices (TDD, Agile, code reviews)","Seniority mismatch: 4 years experience is mid-level; Software Engineer Lead typically requires 6-8+ years and proven track record managing teams—candidate has titles suggesting leadership but limited tenure to demonstrate sustained team leadership | No explicit healthcare/clinical laboratory domain experience mentioned; regulated clinical environments (GxP, CLIA, CAP compliance) require domain-specific knowledge not evident in candidate's background",2,,https://job-boards.greenhouse.io/personalisinc/jobs/7772264003
62,possible,unknown,0,10,2026-06-12,"Lead Software Development Engineer, Full Stack",pitchbookdata,"Seattle, Washington, United States","Strong full-stack capabilities with Python, Java Spring Boot, Node.js, and modern frontend frameworks (Angular, React, Vue.js) | Extensive cloud and infrastructure experience (AWS, Azure, GCP, Docker, Kubernetes, Terraform) critical for data platform work | Proven microservices and distributed systems knowledge (Kafka, SNS/SQS, service-oriented architecture, API design with OpenAPI/Swagger) | Data pipeline relevant skills: SQL, multiple databases (MySQL, MongoDB, Redis, DynamoDB), and experience with message queues and event streaming","Seniority mismatch: 4 years experience vs. 'Lead' and 'senior technical leader' role typically requiring 8-10+ years; candidate is mid-level, not senior | No mention of big data/data engineering tools (Spark, Hadoop, data warehousing, ETL frameworks) or large-scale data ingestion/processing systems experience | No evidence of leading/mentoring teams or setting technical strategy for organizations; role emphasizes 'technical north star' and team leadership | Missing domain expertise in data enrichment, data quality, or AI/ML pipeline infrastructure that the 'Frontier Data Platform' role likely requires",7,,https://job-boards.greenhouse.io/pitchbookdata/jobs/4688763006
62,possible,unknown,0,10,2026-06-12,"Senior Software Engineer, Client Implementations",coherehealth,United States,"Strong full-stack capabilities: Java Spring Boot backend, React/TypeScript frontend, and Node.js experience directly align with job's Java/React/TypeScript stack | Solid data & messaging experience: MongoDB, Kafka, and event-driven architecture expertise match the job's NoSQL and message-driven workflow requirements | Cloud & DevOps maturity: AWS, Docker, Kubernetes, Terraform, CI/CD, and Jenkins experience demonstrate production-grade systems operation | Modern development practices: Git, automated testing, TDD, and Agile/Scrum background show strong engineering discipline","Seniority gap: 4 years of experience vs. 5+ years required; lacks demonstrated epic-level ownership and mentorship track record expected at Senior level | Groovy/Grails experience absent: Job specifically calls for Groovy/Grails backend expertise, which candidate does not list despite strong Java Spring Boot background | Healthcare domain experience not evident: No mention of healthcare, prior authorization, multi-tenant systems, or regulated environments; this is a mission-critical healthcare role requiring domain context",5,,https://job-boards.greenhouse.io/coherehealth/jobs/7771934003
62,possible,unknown,0,10,2026-06-12,Fullstack Software Engineer (Ruby on Rails / React) 🇪🇺,pennylane,Remote,"Strong React/TypeScript frontend experience with 4 years fullstack background | Extensive AWS cloud infrastructure knowledge matching job requirements | Proven microservices, REST API, and modern web development expertise | US work authorization eliminates visa/sponsorship concerns for EU-based remote role",No Ruby on Rails experience - core tech stack requirement; candidate has Java Spring Boot and Node.js but not Rails | Missing Ruby language proficiency entirely; job explicitly requires Rails/Ruby expertise,2,,https://jobs.ashbyhq.com/pennylane/c7714959-a5a1-46a4-bede-a3c45accd1b8
62,possible,no,0,11,2026-06-11,Sr. Software Developer  (Infrastructure),bandwidth,"Raleigh, NC","Strong Python and TypeScript skills directly match job requirements | Extensive AWS experience with cloud infrastructure, Docker, Kubernetes, and Terraform | Proven platform/infrastructure background: CI/CD (Jenkins), microservices, API design, and developer tooling experience | 4 years production experience with web services and cloud platforms","Seniority mismatch: 4 years experience vs. 5+ years required for Sr. role; candidate is mid-level, not senior | No demonstrated experience with LLM APIs, AI gateways, model routing, or AI infrastructure (core focus of this role) | Missing Go language (listed as preferred); only Python/TypeScript from the preferred stack | No evidence of building/operating LLM proxies, AI observability systems, or agentic workflows",5,,https://job-boards.greenhouse.io/bandwidth/jobs/8001619
62,possible,unknown,0,11,2026-06-11,Senior Front End Software Engineer ,axon,"Washington, United States","Strong expertise in JavaScript/TypeScript, Angular, React, and HTML5/CSS3 - core frontend stack required | 4 years of professional software development with full-stack background including frontend-heavy roles | Experience with modern tooling, testing frameworks (TDD background), performance optimization, and cloud services (AWS, GCP, Azure) | Authorized to work in US with no sponsorship required","Seniority mismatch: 4 years experience vs 6+ years required for Senior role; lacks the depth expected at senior level for architecture leadership and mentoring | Missing specific frontend expertise: no mention of Webpack/bundling tools, Jest/Karma testing frameworks, or deep web performance optimization (code splitting, lazy loading, TTI) - critical for this senior frontend role | No demonstrated experience with AI-assisted development tools or AI-first engineering practices, which is a key focus area for this role | Backend/microservices focus in background suggests generalist rather than deep frontend specialization needed for senior frontend architecture decisions",6,,https://job-boards.greenhouse.io/axon/jobs/7727438003
62,possible,no,0,12,2026-06-10,Growth - Senior Software Engineer,sprinter-health,"San Francisco, CA","Strong backend engineering foundation with Python, Java Spring Boot, Node.js, and microservices architecture—core skills for building experimentation and messaging systems | 4 years of software engineering experience with demonstrated full-stack capability (frontend: Angular, React, Vue; backend: Spring Boot, Express; databases: SQL, MongoDB, Redis) | Proven cloud and infrastructure expertise (AWS, Azure, GCP, Docker, Kubernetes, Terraform) relevant for scaling multi-channel engagement systems | Experience with messaging systems (Apache Kafka, AWS SNS/SQS) and APIs (RESTful, GraphQL) directly applicable to SMS/email/mail engagement platforms","No demonstrated growth engineering, experimentation platform, or A/B testing framework experience—the job heavily emphasizes shipping experiments, funnel optimization, and metrics-driven product decisions | Seniority mismatch: candidate has 4 years total experience; job requires 5+ years as software engineer plus 2-3 years specifically on growth/experimentation teams (7-8 years implied). No evidence of mentoring or pod-level ownership mentioned in candidate profile | No evidence of working on activation, conversion, retention, or booking metrics—core growth metrics the role focuses on | Missing domain context: no healthcare, marketplace, or last-mile logistics product experience; no demonstrated ability to operate in high-ambiguity, zero-to-one, or PLG environments",2,,https://jobs.ashbyhq.com/sprinter-health/b598c019-58ee-40fe-825a-5f259324ddb6
62,possible,unknown,0,12,2026-06-10,Senior Software Engineer - Backend,sigmacomputing,"New York City, NY","4 years backend engineering experience exceeds 2+ year minimum requirement | Strong distributed systems foundation with microservices, Kubernetes, Docker, and cloud platforms (AWS, GCP, Azure) | Solid API development experience with GraphQL, RESTful APIs, and OpenAPI/Swagger | SQL and database experience (MySQL, MongoDB, DynamoDB) with some optimization exposure",No Rust or Go experience listed; job explicitly calls for these modern languages as primary backend tools | Limited evidence of data model design or SQL query optimization depth required for data warehouse context | No demonstrated experience with high-growth company scaling or data-driven distributed system problem-solving | Backend focus is solid but full-stack background suggests less specialization in backend depth vs. generalist,2,,https://job-boards.greenhouse.io/sigmacomputing/jobs/7767902003
62,possible,no,0,12,2026-06-10,Senior Software Engineer (Full Stack),virtuous,"Remote, USA","Strong full-stack capabilities with Python backend experience and modern frontend frameworks (React, Angular, Vue.js) | Proven microservices, scalability, and cloud infrastructure expertise (AWS, Docker, Kubernetes, Terraform) directly applicable to platform performance and reliability | 4 years of relevant experience with RESTful APIs, GraphQL, CI/CD, and observability tools (Splunk) aligns with role's focus on shipping reliably at scale","No demonstrated Django experience; candidate's Python background appears to be general/Spring Boot-focused rather than Django-specific, requiring ramp-up on their primary backend framework | Missing explicit PostgreSQL expertise (candidate has MySQL, MongoDB, DynamoDB but no PostgreSQL listed), which is their primary datastore | No mention of HTMX or server-side rendering architecture experience; candidate's frontend background is heavily client-side (React, Angular, Vue.js), misaligned with their migration toward leaner server-side patterns",6,,https://jobs.ashbyhq.com/virtuous/c15860ec-0589-468f-9b1b-4db726df6cf7
62,possible,unknown,0,12,2026-06-10,GOV Site Reliability Engineer,veeamsoftware,"Remote, United States","Strong cloud platform experience (AWS, Azure, Google Cloud) with specific Azure exposure relevant to Azure Government requirements | Proven microservices, Kubernetes, Docker, and infrastructure-as-code (Terraform) skills directly applicable to SRE work | Solid observability foundation with Splunk, CI/CD, monitoring, and incident response experience through microservices background","No demonstrated SRE-specific experience or on-call/incident response leadership; background is primarily backend/full-stack development rather than reliability engineering | Missing government/sovereign cloud compliance, security clearance, or regulated environment experience (FedRAMP, ITAR, etc.) which is critical for GOV role",3,,https://job-boards.eu.greenhouse.io/veeamsoftware/jobs/4634731101
